TARGET,ID,DerogCnt,CollectCnt,BanruptcyInd,InqCnt06,InqTimeLast,InqFinanceCnt24,TLTimeFirst,TLTimeLast,TLCnt03,TLCnt12,TLCnt24,TLCnt,TLSum,TLMaxSum,TLSatCnt,TLDel60Cnt,TLBadCnt24,TL75UtilCnt,TL50UtilCnt,TLBalHCPct,TLSatPct,TLDel3060Cnt24,TLDel90Cnt24,TLDel60CntAll,TLOpenPct,TLBadDerogCnt,TLDel60Cnt24,TLOpen24Pct
1,3132,6,3,0,1,0,0,59,8,0,2,3,3,$706,$716,4,2,1,2,2,99%,50%,0,1,2,50%,4,1,100%
1,3190,2,2,0,8,1,9,96,3,1,1,1,1,$698,$630,3,2,2,1,1,111%,40%,0,2,2,20%,3,2,100%
1,4032,2,2,0,2,0,4,248,7,0,3,7,14,"$30,265","$44,493",28,0,0,7,9,68%,63%,2,0,1,47%,2,1,50%
1,4408,0,0,0,8,1,10,124,4,0,6,9,12,"$44,329","$47,349",22,0,0,8,9,94%,71%,1,0,2,50%,0,0,75%
1,4470,4,4,0,13,1,27,42,2,1,2,3,3,"$5,066","$6,354",3,1,0,2,2,80%,43%,0,0,1,43%,4,0,100%
1,4734,1,0,0,4,1,2,93,20,0,0,2,19,"$40,795","$67,014",24,2,2,7,7,61%,52%,3,4,6,66%,4,5,11%
1,4860,0,0,0,3,0,2,446,9,0,2,9,26,"$65,165","$126,906",33,0,0,5,7,51%,78%,3,0,0,70%,0,0,35%
1,5014,0,0,0,1,2,1,337,11,0,2,4,17,"$45,492","$44,666",14,0,0,9,12,102%,31%,3,0,1,59%,0,0,24%
1,5261,1,1,0,1,1,0,134,3,1,3,7,16,"$35,996","$42,432",18,0,0,9,11,85%,38%,3,0,0,62%,0,0,44%
1,5430,5,3,0,4,1,11,89,3,1,3,6,7,"$13,106","$14,161",14,0,0,4,5,93%,38%,2,1,2,44%,6,2,86%
1,5564,0,0,0,4,2,3,118,11,0,1,1,2,"$1,087","$1,091",4,1,1,2,2,100%,50%,0,1,1,33%,1,1,50%
1,5641,0,0,0,10,1,3,87,3,1,2,4,11,"$16,223","$19,849",13,0,0,4,7,82%,60%,2,0,1,73%,0,1,36%
1,5759,4,1,1,2,0,5,201,22,0,0,1,1,$0,$0,2,1,0,0,0,0%,33%,0,0,2,33%,1,0,100%
1,5881,3,1,0,4,1,3,234,30,0,0,0,5,"$11,288","$21,709",6,3,2,3,4,52%,18%,2,4,5,45%,5,5,0%
1,6359,5,5,0,0,8,0,118,4,0,6,7,8,"$17,200","$23,793",11,3,1,5,6,72%,69%,0,2,4,50%,4,2,88%
1,6574,0,0,0,1,1,0,74,35,0,0,0,4,"$4,963","$12,283",4,3,2,2,2,40%,14%,2,4,7,57%,4,5,0%
1,7140,3,2,0,0,11,0,90,9,0,1,3,3,"$4,722","$5,462",8,2,1,2,2,86%,17%,2,2,4,25%,3,3,100%
1,7163,4,2,1,3,3,2,221,3,1,1,1,3,"$6,918","$10,212",9,5,2,1,2,68%,33%,0,2,5,20%,3,2,33%
1,7226,1,1,0,2,1,4,206,21,0,0,1,1,$0,$0,7,1,0,,,0%,25%,0,0,3,13%,1,0,100%
1,7251,1,1,0,4,1,5,152,11,0,1,1,3,"$9,584","$10,778",2,2,0,2,2,89%,25%,2,1,2,75%,1,2,33%
1,7427,0,0,0,1,6,4,102,25,0,0,0,14,"$34,506","$37,617",17,3,2,9,11,92%,43%,3,4,4,61%,4,4,0%
1,7664,0,0,0,3,0,1,90,16,0,0,2,3,"$1,457","$1,501",3,2,0,1,3,97%,43%,0,0,2,43%,0,0,67%
1,7669,0,0,0,5,1,3,216,8,0,2,2,19,"$72,107","$82,531",30,0,0,11,12,87%,73%,0,0,0,63%,0,0,11%
1,7968,2,1,1,0,8,2,156,6,0,1,1,3,$176,$176,2,2,1,2,2,100%,0%,3,1,3,43%,2,1,33%
1,8250,0,0,0,1,3,6,165,27,0,0,0,8,"$22,310","$27,277",2,10,8,4,5,82%,7%,2,9,11,57%,9,10,0%
1,8256,1,1,0,2,1,1,138,6,0,1,5,10,"$16,770","$17,258",18,0,0,7,8,97%,39%,3,0,2,56%,1,1,50%
1,8848,8,5,1,4,2,7,139,7,0,2,3,5,"$1,181","$1,138",0,11,5,3,3,104%,0%,2,5,11,36%,10,6,60%
1,8964,0,0,0,7,0,9,51,2,3,6,10,12,"$29,292","$46,703",14,1,1,6,9,63%,65%,1,1,1,71%,1,1,83%
1,9273,2,2,0,0,17,0,414,46,0,0,0,1,"$3,548","$3,000",10,1,0,1,1,118%,9%,0,1,3,9%,2,1,0%
1,9299,1,1,0,7,0,2,105,27,0,0,0,3,"$22,537","$35,577",10,2,1,1,2,63%,46%,0,1,4,23%,2,1,0%
1,9307,1,1,0,2,2,3,126,1,2,3,9,6,"$27,313","$29,786",10,0,0,4,4,92%,29%,3,0,1,35%,0,1,150%
1,9508,1,0,1,5,1,13,236,9,0,3,8,12,"$45,337","$62,466",22,16,2,4,5,73%,36%,0,2,16,31%,2,2,67%
1,9572,0,0,0,0,,0,96,3,1,1,1,4,"$20,068","$27,461",17,1,0,2,2,73%,32%,0,1,1,21%,1,1,25%
1,9977,1,1,0,1,1,2,54,2,1,2,2,4,"$9,251","$9,668",1,3,1,4,4,96%,0%,0,3,3,80%,3,3,50%
1,10444,0,0,0,13,2,21,71,3,1,8,15,16,"$44,095","$50,191",36,3,0,12,14,88%,53%,3,1,4,37%,1,4,94%
1,10540,0,0,0,3,4,2,118,6,0,5,8,5,"$5,576","$11,473",10,0,0,3,3,49%,53%,2,0,1,33%,0,1,160%
1,10632,0,0,0,0,8,0,107,5,0,2,4,4,"$12,546","$24,224",7,0,0,2,2,52%,18%,3,0,2,36%,0,2,100%
1,10681,3,3,0,4,1,3,142,11,0,1,1,5,"$28,966","$42,212",7,9,7,2,3,69%,19%,0,7,9,31%,9,7,20%
1,10775,0,0,0,4,0,7,160,3,1,7,12,11,"$19,163","$22,263",20,0,0,6,6,86%,46%,3,0,4,39%,0,1,109%
1,11105,1,0,0,1,5,0,90,17,0,0,1,2,"$5,835","$7,488",2,0,0,1,1,78%,0%,0,1,1,100%,2,1,50%
1,11338,2,2,0,0,,0,117,37,0,0,0,2,$729,"$1,788",4,1,0,0,0,41%,50%,0,1,2,33%,3,1,0%
1,11451,0,0,0,1,3,0,161,16,0,0,7,11,"$11,565","$22,899",21,2,2,3,6,51%,42%,0,2,3,42%,2,2,64%
1,11954,0,0,0,0,,0,7,7,0,1,1,1,,,0,1,0,,,,0%,2,0,1,100%,0,1,100%
1,12175,2,2,0,2,2,2,102,10,0,1,3,4,"$8,486","$6,876",3,7,5,3,3,123%,20%,0,5,7,40%,7,5,75%
1,12240,1,1,0,16,1,15,246,16,0,0,4,12,"$49,275","$61,570",16,1,0,5,7,80%,67%,0,2,2,67%,2,2,33%
1,12558,8,8,0,7,3,27,35,4,0,6,14,4,"$15,358","$15,641",12,1,1,3,3,98%,71%,0,1,1,24%,5,1,350%
1,12787,1,1,0,8,1,6,113,4,0,6,8,8,"$61,954","$70,652",15,0,0,8,8,88%,39%,3,1,5,44%,2,2,100%
1,12986,0,0,0,0,12,1,181,12,0,1,7,11,"$9,428","$30,070",13,0,0,6,7,31%,79%,0,0,1,79%,0,0,64%
1,13425,0,0,0,6,1,6,258,6,0,2,5,7,"$4,937","$12,345",8,0,0,4,4,40%,55%,3,0,0,64%,0,0,71%
1,13753,0,0,0,9,1,30,112,15,0,0,5,8,"$10,783","$12,757",16,2,2,5,7,85%,42%,0,2,2,33%,2,2,63%
1,13899,8,4,1,0,9,5,126,4,0,2,5,4,"$1,322","$1,406",7,4,1,3,3,94%,42%,0,1,5,33%,5,1,125%
1,13970,2,2,0,3,1,5,220,14,0,0,4,4,"$14,451","$19,365",6,2,2,2,3,75%,38%,2,2,4,50%,3,3,100%
1,14072,3,1,1,10,0,18,102,16,0,0,5,6,"$42,153","$59,710",8,2,0,1,4,71%,29%,3,1,3,43%,2,2,83%
1,14408,0,0,0,5,0,13,119,2,1,8,13,14,"$18,449","$23,295",18,2,0,9,12,79%,65%,0,1,3,61%,1,1,93%
1,14449,0,0,0,0,7,0,61,29,0,0,0,2,"$4,254","$3,190",1,4,2,2,2,133%,20%,0,2,3,40%,2,2,0%
1,14591,5,4,1,3,1,4,410,8,0,3,6,3,"$3,687","$4,174",9,2,1,3,3,88%,46%,0,1,3,23%,1,1,200%
1,14656,5,1,0,5,3,8,168,4,0,5,5,7,"$18,265","$31,927",9,7,4,3,3,57%,28%,3,5,10,39%,7,7,71%
1,15376,1,0,1,7,1,13,159,4,0,2,2,5,"$15,607","$16,688",6,4,3,3,5,94%,31%,0,3,6,38%,3,3,40%
1,15377,6,0,1,4,1,5,87,10,0,2,2,1,"$2,500","$2,500",1,6,1,1,1,100%,11%,0,1,7,11%,2,1,200%
1,15567,0,0,0,3,1,5,145,15,0,0,1,4,"$9,182","$10,248",12,0,0,3,4,90%,33%,3,0,2,27%,0,2,25%
1,16145,2,2,0,7,1,6,116,25,0,0,0,2,"$6,447","$15,874",7,2,1,0,1,41%,9%,2,1,3,18%,2,2,0%
1,16361,0,0,0,1,2,3,123,8,0,2,6,10,"$24,309","$31,071",15,0,0,6,7,78%,44%,3,0,0,63%,0,0,60%
1,16582,2,2,0,8,0,4,132,9,0,1,2,11,"$38,158","$78,090",18,3,3,6,6,49%,38%,3,4,7,42%,5,5,18%
1,16809,0,0,0,5,2,2,213,3,1,4,6,20,"$65,957","$77,972",30,0,0,13,15,85%,69%,0,0,0,63%,0,0,30%
1,17485,2,1,0,2,0,5,176,14,0,0,2,2,$509,$509,1,3,1,1,1,100%,0%,2,2,4,40%,2,3,100%
1,17510,0,0,0,7,1,14,107,2,1,3,9,15,"$36,306","$52,120",29,5,4,6,10,70%,28%,3,7,7,38%,7,7,60%
1,18318,12,11,0,6,1,9,112,24,0,0,1,8,"$7,467","$10,160",13,12,7,5,6,73%,12%,0,9,14,32%,19,9,13%
1,18671,3,2,0,1,0,5,101,6,0,3,7,11,"$16,618","$18,277",27,3,1,5,5,91%,45%,3,1,5,33%,1,5,64%
1,18822,0,0,0,10,1,12,202,2,1,4,5,7,"$3,713","$8,255",13,1,1,3,3,45%,19%,3,2,5,44%,2,3,71%
1,19472,6,5,0,11,0,26,174,2,1,4,8,7,"$12,083","$13,360",23,4,1,5,5,90%,21%,1,2,4,21%,5,2,114%
1,19597,2,1,1,0,20,1,130,93,0,0,0,3,"$9,246","$9,246",5,8,1,2,2,100%,8%,0,2,9,23%,3,2,0%
1,19662,1,0,1,4,0,2,216,8,0,2,9,12,"$32,320","$47,288",21,15,3,6,7,68%,32%,0,3,16,29%,3,3,75%
1,20212,1,0,1,5,0,4,125,2,1,2,6,6,"$18,299","$25,671",10,0,0,4,5,71%,45%,3,0,0,55%,0,0,100%
1,20459,5,1,1,1,1,3,325,9,0,1,2,10,"$9,970","$10,991",14,17,2,6,6,91%,32%,0,3,17,32%,3,3,20%
1,20665,0,0,0,1,2,1,99,23,0,0,1,5,"$5,659","$11,930",7,1,1,1,1,47%,30%,0,2,2,50%,2,2,20%
1,21035,1,1,0,2,0,3,275,13,0,0,2,8,"$5,796","$8,541",15,9,4,3,4,68%,36%,2,4,14,32%,5,5,25%
1,21586,0,0,0,2,1,2,139,10,0,3,8,16,"$12,204","$14,562",30,0,0,9,11,84%,61%,3,0,3,48%,0,2,50%
1,21847,0,0,1,0,7,5,29,6,0,5,9,11,"$40,892","$45,188",14,1,0,9,9,90%,80%,1,0,1,73%,0,0,82%
1,21939,0,0,0,9,1,4,108,3,1,1,1,3,"$7,938","$9,706",4,2,2,1,1,82%,14%,0,2,2,43%,2,2,33%
1,21947,7,6,0,2,0,9,121,8,0,5,9,5,"$36,973","$40,206",9,2,2,5,5,92%,50%,2,2,3,42%,5,3,180%
1,22221,0,0,0,1,5,1,189,13,0,0,2,10,"$1,306","$10,491",20,1,0,2,2,12%,57%,2,0,1,48%,0,1,20%
1,22522,8,3,0,3,2,1,240,4,0,2,2,6,"$7,625","$11,553",5,4,2,0,2,66%,27%,0,5,6,55%,12,5,33%
1,23082,0,0,0,1,2,0,42,5,0,3,3,5,"$7,341","$8,866",5,0,0,3,4,83%,100%,0,0,0,100%,0,0,60%
1,24690,0,0,0,4,1,0,153,13,0,0,3,12,"$47,040","$58,953",22,0,0,4,9,80%,17%,3,0,4,50%,0,3,25%
1,24859,4,4,0,5,1,10,221,8,0,1,4,7,"$31,445","$40,749",10,0,0,2,4,77%,42%,3,0,2,58%,1,0,57%
1,25097,0,0,0,5,0,5,197,5,0,2,4,6,$882,"$5,289",13,3,3,2,2,17%,44%,2,4,6,38%,4,5,67%
1,25177,1,0,0,3,0,4,153,4,0,1,4,6,"$51,251","$62,609",10,2,1,5,6,82%,46%,1,2,4,46%,3,2,67%
1,25504,2,0,0,1,1,9,115,10,0,1,3,3,"$8,702","$11,145",5,2,1,2,2,78%,13%,1,1,4,38%,1,1,100%
1,25579,4,4,0,3,2,13,150,5,0,2,4,5,"$2,001","$2,543",26,2,1,4,4,79%,10%,3,1,4,17%,4,3,80%
1,25608,3,2,1,4,1,7,128,17,0,0,1,3,"$8,286","$11,150",3,4,1,1,2,74%,11%,0,1,4,33%,3,1,33%
1,26587,2,2,0,3,3,10,101,6,0,5,14,5,"$44,615","$47,226",20,2,1,5,5,94%,34%,2,1,2,17%,2,2,280%
1,26675,0,0,0,4,0,3,127,7,0,4,11,26,"$63,184","$86,143",33,0,0,7,11,73%,36%,3,0,1,55%,0,1,42%
1,26689,3,0,1,5,0,6,146,5,0,1,3,5,"$7,244","$12,822",6,6,1,1,4,57%,31%,1,1,6,38%,1,1,60%
1,26768,3,2,0,4,1,12,115,10,0,1,2,3,$881,"$1,156",4,2,0,1,2,76%,33%,2,0,2,50%,1,1,67%
1,26817,3,3,0,8,1,6,158,6,0,3,10,19,"$30,976","$57,824",31,1,1,5,10,54%,66%,0,3,4,59%,4,3,53%
1,27999,1,1,0,8,0,3,39,2,1,5,8,10,"$15,321","$20,966",9,1,0,2,3,73%,75%,2,0,1,83%,1,1,80%
1,28101,2,1,0,0,8,3,39,12,0,1,1,1,"$18,526","$20,911",1,1,1,1,1,89%,0%,0,1,1,50%,3,1,100%
1,28196,0,0,0,0,12,0,552,4,0,2,5,5,"$26,437","$30,927",18,1,0,5,5,85%,40%,2,0,1,25%,0,1,100%
1,28383,3,3,0,8,0,8,153,9,0,1,2,4,"$23,936","$26,959",12,1,0,3,3,89%,53%,1,0,1,27%,3,0,50%
1,28471,3,3,0,3,2,7,109,4,0,2,3,5,"$29,315","$35,760",9,2,1,2,3,82%,27%,3,1,1,45%,3,1,60%
1,28643,1,1,0,0,10,4,21,2,1,4,6,4,"$14,435","$15,787",5,0,0,3,3,91%,83%,0,0,0,67%,0,0,150%
1,28734,0,0,0,1,1,4,215,7,0,2,4,15,"$42,898","$47,670",21,0,0,14,14,90%,90%,0,0,0,71%,0,0,27%
1,28857,3,1,0,1,3,6,125,11,0,1,1,2,$0,$208,1,4,1,0,0,0%,20%,0,1,4,40%,4,1,50%
1,28989,3,0,1,1,5,0,122,32,0,0,0,2,"$7,862","$15,922",4,7,1,0,0,49%,15%,0,1,8,15%,1,1,0%
1,29514,2,3,0,7,1,0,91,8,0,5,6,4,"$17,794","$29,352",8,2,0,0,2,61%,27%,3,0,3,36%,1,2,150%
1,29917,6,5,1,7,1,10,96,4,0,7,11,8,"$9,511","$12,501",15,13,1,6,7,76%,39%,0,1,13,26%,4,1,138%
1,30380,0,0,0,3,1,3,109,3,1,1,1,7,"$3,719","$11,528",8,3,2,1,2,32%,23%,2,4,6,54%,4,5,14%
1,30445,0,0,0,5,0,7,393,13,0,0,2,11,"$30,920","$52,290",36,1,1,2,4,59%,45%,0,1,1,29%,1,1,18%
1,30532,0,0,0,3,0,3,107,13,0,0,5,14,"$58,795","$66,406",28,0,0,10,11,89%,62%,0,0,0,48%,0,0,36%
1,30633,9,5,1,7,0,2,246,27,0,0,0,6,"$18,250","$23,750",4,15,4,3,3,77%,0%,3,5,19,24%,8,7,0%
1,30790,2,1,1,0,9,0,12,12,0,1,1,1,$204,$200,1,0,0,1,1,102%,100%,0,0,0,100%,1,0,100%
1,30856,0,0,0,2,0,9,113,6,0,4,7,23,"$41,382","$67,192",36,0,0,12,19,62%,67%,2,0,1,64%,0,1,30%
1,30917,0,0,0,9,1,6,282,5,0,4,6,18,"$35,205","$46,981",33,3,1,6,9,75%,44%,3,5,8,44%,5,5,33%
1,31948,0,0,0,7,1,12,150,1,1,4,9,9,"$43,478","$53,607",18,0,0,5,5,81%,50%,3,1,4,41%,1,1,100%
1,32553,0,0,0,0,,0,190,24,0,0,1,11,"$11,966","$16,962",22,0,0,5,7,71%,57%,3,1,5,48%,1,5,9%
1,32615,0,0,0,9,1,12,270,13,0,0,2,9,"$28,859","$39,039",13,1,0,2,4,74%,38%,3,0,4,56%,0,2,22%
1,32691,0,0,0,0,,0,245,27,0,0,0,8,"$21,620","$25,326",7,2,1,5,5,85%,33%,2,4,5,67%,4,5,0%
1,33041,0,0,0,1,3,0,24,19,0,0,3,3,"$5,725","$5,310",1,2,2,3,3,108%,33%,0,2,2,100%,2,2,100%
1,33096,0,0,0,2,2,3,72,17,0,0,2,5,"$31,128","$40,006",4,1,1,3,4,78%,17%,2,1,2,83%,1,2,40%
1,33196,1,0,1,1,2,2,101,5,0,1,2,6,"$18,018","$29,097",6,11,4,3,4,62%,21%,0,4,11,32%,4,4,33%
1,33359,3,2,1,5,3,5,107,16,0,0,1,2,$167,$167,2,3,1,1,1,100%,33%,0,1,3,33%,3,1,50%
1,33713,2,2,0,8,1,5,171,42,0,0,0,8,"$5,960","$11,379",15,4,2,1,3,52%,15%,3,2,8,40%,4,5,0%
1,33828,0,0,0,4,1,7,176,4,0,7,17,26,"$62,359","$117,515",40,0,0,9,9,53%,65%,2,0,1,57%,0,1,65%
1,33845,5,4,1,8,1,2,146,4,0,1,2,4,"$10,416","$14,089",9,5,2,2,3,74%,38%,0,2,7,25%,3,2,50%
1,34289,2,2,0,5,1,1,44,10,0,1,2,2,"$3,584","$3,000",2,1,1,1,1,119%,33%,0,1,1,67%,1,1,100%
1,34343,0,0,0,6,1,6,285,3,1,1,3,5,"$10,913","$20,643",10,2,1,2,2,53%,20%,0,1,6,33%,1,1,60%
1,34499,0,0,0,3,1,4,106,24,0,0,1,4,"$17,270","$37,094",10,3,3,0,1,47%,29%,2,3,4,29%,3,4,25%
1,35314,0,0,0,6,1,6,329,1,1,6,10,15,"$32,974","$33,371",20,2,0,10,11,99%,55%,2,1,3,48%,1,2,67%
1,35365,2,1,0,2,2,5,252,11,0,1,1,10,"$18,937","$40,676",7,7,3,2,5,47%,5%,3,7,14,53%,9,9,10%
1,35524,0,0,0,0,,0,134,11,0,1,5,8,"$27,710","$36,667",15,6,1,4,7,76%,12%,3,4,11,31%,4,8,63%
1,35981,1,1,0,5,1,10,86,3,1,1,2,4,"$23,963","$32,942",3,1,0,2,2,73%,17%,3,0,2,67%,1,2,50%
1,36495,0,0,0,8,1,7,163,5,0,2,2,8,"$13,563","$16,040",15,0,0,3,5,85%,47%,2,0,4,53%,0,1,25%
1,36517,0,0,0,1,5,1,107,7,0,1,1,8,"$27,981","$29,835",12,0,0,5,6,94%,36%,3,0,0,57%,0,0,13%
1,36611,7,4,1,6,2,9,140,3,1,2,6,8,"$14,829","$21,060",15,0,0,6,7,70%,41%,1,0,1,47%,2,0,75%
1,36619,1,1,0,4,4,2,161,6,0,2,4,18,"$63,800","$84,422",29,0,0,8,13,76%,44%,3,0,3,53%,0,2,22%
1,36785,0,0,0,7,0,7,158,17,0,0,3,7,"$27,288","$35,693",23,2,0,3,5,76%,13%,3,2,5,23%,2,4,43%
1,36788,0,0,0,0,,0,273,5,0,1,2,16,"$78,533","$87,254",17,3,0,9,11,90%,36%,3,2,3,64%,2,2,13%
1,38252,3,2,1,3,5,5,145,1,1,3,5,6,"$1,437","$11,019",12,12,2,3,3,13%,24%,0,3,14,24%,5,3,83%
1,38914,0,0,0,3,0,0,320,6,0,1,6,6,"$11,040","$10,035",8,19,15,3,3,110%,3%,2,19,24,18%,19,20,100%
1,38998,0,0,0,2,1,2,189,9,0,1,4,14,"$61,279","$73,460",28,0,0,10,10,83%,53%,2,0,1,47%,0,1,29%
1,39331,2,2,0,9,0,7,49,5,0,6,10,11,"$11,611","$18,579",15,0,0,4,7,63%,88%,0,0,0,69%,1,0,91%
1,39463,3,2,0,8,1,4,290,5,0,1,1,3,"$10,321","$11,889",7,1,1,1,1,87%,22%,1,1,6,33%,2,1,33%
1,39549,0,0,0,3,1,0,170,5,0,1,4,5,"$2,781","$21,571",14,0,0,2,2,13%,44%,2,1,2,31%,1,2,80%
1,39559,0,0,0,6,1,7,76,11,0,1,5,5,"$8,611","$9,326",14,1,0,3,4,92%,58%,0,0,2,26%,0,0,100%
1,39964,1,0,0,2,5,2,148,7,0,1,4,6,"$42,142","$52,945",6,3,1,4,5,80%,56%,0,1,3,67%,1,1,67%
1,40523,2,1,1,3,2,12,109,8,0,4,6,3,"$3,372","$3,441",5,8,3,2,2,98%,18%,3,3,10,18%,4,5,200%
1,40654,0,0,0,2,2,7,139,14,0,0,2,12,"$8,336","$29,630",19,0,0,4,5,28%,52%,3,0,2,52%,0,1,17%
1,40689,0,0,0,3,1,2,99,20,0,0,3,8,"$14,221","$22,324",14,1,0,3,4,64%,67%,0,0,2,53%,0,0,38%
1,40729,4,1,0,0,11,2,219,10,0,1,1,3,"$3,416","$13,973",1,1,0,0,0,24%,0%,2,1,3,50%,2,2,33%
1,41098,5,5,0,8,1,10,294,3,1,4,9,9,"$54,643","$62,295",28,0,0,4,6,88%,45%,2,0,4,27%,3,1,100%
1,41106,0,0,0,2,5,3,221,22,0,0,1,14,"$38,617","$53,723",22,0,0,6,12,72%,64%,1,0,0,56%,0,0,7%
1,41110,2,1,1,4,2,4,212,7,0,1,3,5,"$18,385","$18,513",3,5,2,4,4,99%,13%,2,2,6,63%,3,3,60%
1,41182,0,0,0,4,1,7,145,4,0,2,4,8,"$44,544","$48,569",11,0,0,4,6,92%,100%,0,0,0,73%,0,0,50%
1,41274,20,1,1,2,1,7,60,58,0,0,0,0,$0,$0,,3,1,0,0,0%,,8,1,3,0%,6,1,0%
1,41383,2,2,0,9,0,4,353,9,0,1,3,10,"$18,008","$30,920",18,0,0,5,6,58%,45%,2,0,2,50%,2,1,30%
1,41962,0,0,0,2,1,3,120,10,0,1,2,8,"$41,370","$50,001",12,0,0,4,5,83%,75%,0,0,0,67%,0,0,25%
1,42274,1,0,1,5,1,5,47,8,0,3,5,5,"$36,320","$46,341",7,2,2,3,4,78%,70%,0,2,2,50%,2,2,100%
1,42741,5,5,0,0,12,3,11,11,0,1,1,1,,,1,0,0,,,,100%,0,0,0,100%,1,0,100%
1,43131,1,0,1,10,0,6,134,17,0,0,2,6,"$26,590","$34,114",8,9,2,3,4,78%,35%,0,2,9,35%,2,2,33%
1,43302,1,1,0,9,0,14,119,4,0,2,3,4,"$29,971","$48,318",14,3,0,1,3,62%,42%,0,1,3,21%,2,1,75%
1,43423,0,0,0,6,0,8,174,3,1,4,9,18,"$85,318","$98,293",24,1,0,13,15,87%,61%,3,0,1,64%,0,1,50%
1,43501,2,2,0,7,1,12,135,5,0,5,8,2,"$23,215","$24,187",11,2,2,2,2,96%,54%,0,2,2,15%,3,2,400%
1,43505,1,0,1,8,0,12,143,4,0,1,1,2,"$5,675","$6,276",3,5,1,1,1,90%,33%,0,1,7,22%,1,1,50%
1,43704,1,0,0,4,0,3,166,40,0,0,0,4,"$10,814","$10,942",10,1,1,2,2,99%,38%,3,1,3,31%,2,2,0%
1,43851,0,0,0,5,1,22,187,3,1,4,6,10,"$43,715","$47,006",19,4,1,6,7,93%,31%,3,3,6,38%,3,4,60%
1,43982,0,0,0,1,4,3,299,6,0,3,5,16,"$31,271","$39,791",33,0,0,6,10,79%,51%,3,0,1,46%,0,0,31%
1,43988,0,0,0,3,1,6,227,6,0,6,12,14,"$33,465","$43,631",26,0,0,9,10,77%,59%,3,0,1,48%,0,1,86%
1,44361,0,0,0,3,1,2,213,24,0,0,1,6,"$7,743","$10,849",7,0,0,3,3,71%,11%,3,0,3,67%,0,0,17%
1,44536,0,0,0,3,1,0,178,25,0,0,0,7,"$9,372","$17,788",10,1,0,3,4,53%,7%,3,2,4,50%,2,2,0%
1,44686,0,0,0,0,8,1,442,7,0,1,3,18,"$107,958","$134,172",34,0,0,13,16,80%,40%,3,1,3,51%,1,2,17%
1,44870,9,9,0,0,7,2,18,6,0,1,3,2,"$56,845","$57,957",2,0,0,2,2,98%,67%,0,0,0,67%,7,0,150%
1,45009,1,1,0,3,1,2,298,3,1,3,4,6,"$3,715","$4,603",11,3,0,1,1,81%,35%,0,1,5,35%,1,1,67%
1,45228,0,0,0,10,1,3,72,11,0,1,1,5,"$3,456","$5,206",2,7,4,1,3,66%,22%,0,4,7,56%,4,4,20%
1,45303,1,0,0,3,0,2,107,4,0,1,2,4,"$24,682","$37,267",6,3,1,1,2,66%,9%,3,1,5,36%,1,1,50%
